Entidad,Porcentage,Año
Campeche,1.6,2016
Coahuila de Zaragoza,1.0,2016
Colima,2.6,2016
Chiapas,9.4,2016
Chihuahua,1.1,2016
Ciudad de México,0.2,2016
Durango,1.7,2016
Guanajuato,1.5,2016
Guerrero,13.7,2016
Hidalgo,3.9,2016
Jalisco,0.6,2016
México,2.5,2016
Michoacán de Ocampo,4.9,2016
Morelos,2.8,2016
Nayarit,4.3,2016
Nuevo León,0.6,2016
Oaxaca,10.8,2016
Puebla,4.1,2016
Querétaro,1.8,2016
Quintana Roo,1.3,2016
San Luis Potosí,4.1,2016
Sinaloa,2.7,2016
Sonora,2.0,2016
Tabasco,2.8,2016
Tamaulipas,1.3,2016
Tlaxcala,1.1,2016
Veracruz de Ignacio de la Llave,7.0,2016
Yucatán,1.2,2016
Zacatecas,1.0,2016
estados_unidos_mexicanos,3.3,2016
Aguascalientes,0.8,2018
Baja California,1.3,2018
Baja California Sur,3.9,2018
Campeche,2.0,2018
Coahuila de Zaragoza,0.7,2018
Colima,3.1,2018
Chiapas,8.8,2018
Chihuahua,1.5,2018
Ciudad de México,0.4,2018
Durango,1.3,2018
Guanajuato,1.6,2018
Guerrero,12.1,2018
Hidalgo,4.0,2018
Jalisco,1.5,2018
México,1.8,2018
Michoacán de Ocampo,3.3,2018
Morelos,3.5,2018
Nayarit,4.7,2018
Nuevo León,0.7,2018
Oaxaca,11.9,2018
Puebla,2.7,2018
Querétaro,1.1,2018
Quintana Roo,2.6,2018
San Luis Potosí,4.2,2018
Sinaloa,2.1,2018
Sonora,1.8,2018
Tabasco,3.0,2018
Tamaulipas,0.9,2018
Tlaxcala,0.7,2018
Veracruz de Ignacio de la Llave,6.9,2018
Yucatán,0.9,2018
Zacatecas,0.8,2018
estados_unidos_mexicanos,3.1,2018
