Entidad,Porcentage,Año
Aguascalientes,0.0,2014
Baja California,2.9,2014
Baja California Sur,2.3,2014
Campeche,1.2,2014
Coahuila de Zaragoza,0.5,2014
Colima,0.8,2014
Chiapas,0.7,2014
Chihuahua,0.7,2014
Ciudad de México,0.9,2014
Durango,0.9,2014
Guanajuato,0.7,2014
Guerrero,5.9,2014
Hidalgo,1.1,2014
Jalisco,0.6,2014
México,1.7,2014
Michoacán de Ocampo,6.1,2014
Morelos,2.2,2014
Nayarit,2.9,2014
Nuevo León,0.6,2014
Oaxaca,1.2,2014
Puebla,3.7,2014
Querétaro,0.6,2014
Quintana Roo,3.5,2014
San Luis Potosí,0.4,2014
Sinaloa,3.8,2014
Sonora,1.2,2014
Tabasco,0.7,2014
Tamaulipas,0.4,2014
Tlaxcala,0.8,2014
Veracruz de Ignacio de la Llave,1.0,2014
Yucatán,2.7,2014
Zacatecas,0.3,2014
estados_unidos_mexicanos,1.7,2014
Aguascalientes,0.2,2016
Baja California,0.9,2016
Baja California Sur,1.4,2016
Campeche,0.3,2016
Coahuila de Zaragoza,0.3,2016
Colima,0.9,2016
Chiapas,0.6,2016
Chihuahua,0.3,2016
Ciudad de México,1.3,2016
Durango,0.6,2016
Guanajuato,0.3,2016
Guerrero,4.5,2016
Hidalgo,1.3,2016
Jalisco,0.5,2016
México,1.8,2016
Michoacán de Ocampo,4.6,2016
Morelos,0.8,2016
Nayarit,1.9,2016
Nuevo León,0.2,2016
Oaxaca,1.4,2016
Puebla,2.1,2016
Querétaro,0.3,2016
Quintana Roo,1.8,2016
San Luis Potosí,0.5,2016
Sinaloa,1.8,2016
Sonora,1.5,2016
Tabasco,0.3,2016
Tamaulipas,0.7,2016
Tlaxcala,0.9,2016
Veracruz de Ignacio de la Llave,1.1,2016
Yucatán,1.2,2016
Zacatecas,0.3,2016
estados_unidos_mexicanos,1.3,2016
Aguascalientes,0.1,2018
Baja California,1.2,2018
Baja California Sur,0.9,2018
Campeche,0.3,2018
Coahuila de Zaragoza,0.6,2018
Colima,1.3,2018
Chiapas,0.6,2018
Chihuahua,0.5,2018
Ciudad de México,1.0,2018
Durango,0.4,2018
Guanajuato,0.3,2018
Guerrero,3.3,2018
Hidalgo,1.2,2018
Jalisco,0.3,2018
México,2.2,2018
Michoacán de Ocampo,3.8,2018
Morelos,1.5,2018
Nayarit,2.4,2018
Nuevo León,0.0,2018
Oaxaca,0.6,2018
Puebla,1.2,2018
Querétaro,0.2,2018
Quintana Roo,2.7,2018
San Luis Potosí,0.4,2018
Sinaloa,1.8,2018
Sonora,0.7,2018
Tabasco,0.2,2018
Tamaulipas,0.3,2018
Tlaxcala,0.6,2018
Veracruz de Ignacio de la Llave,0.7,2018
Yucatán,1.0,2018
Zacatecas,0.7,2018
estados_unidos_mexicanos,1.1,2018
